entity,count
'Hexosaminidase A',33
'albumin human,33
'Sodium-Glucose Transporter 1'],33
'Matrix Metalloproteinase 3',33
'MTOR gene'],33
'PDHX gene',33
['chrysarobin',33
'Prostaglandin-Endoperoxide Synthase',33
'LRP1 gene',32
'secretin',32
['GPR119 gene',32
'PPARGC1A gene',32
'BACE1 gene'],32
'Fatty Acid Transport Proteins',32
['Glucagon-Like Peptide-1 Receptor',31
'long-chain-fatty-acid-CoA ligase',31
'leptin receptor'],31
'Clustered Regularly Interspaced Short Palindromic Repeats',31
'exendin (9-39)',31
'Glycerol-3-phosphate acyltransferase',31
'FGF23 gene',31
'TLR4 protein,31
'PPARD gene',30
'SLC5A2 gene'],30
'Angiotensin Receptor',30
'PDE5A wt Allele',30
'FFAR1 gene'],30
'FGF21 gene',30
'O-GlcNAc transferase',30
'Adiponectin'],30
['Incretins',30
'Dipeptidyl-Peptidases and Tripeptidyl-Peptidases',30
'HD protein,30
'GPRC5C protein,30
'cholesterol',30
'Glucose Transporter'],29
'pyruvate dehydrogenase'],29
'FABP5 protein,29
'Granulocyte Colony-Stimulating Factor',29
'SREBF1 gene',29
'Insulin-Like Growth Factor Receptor',29
'Melanocortin 4 Receptor',28
'prolactin',28
['leptin'],28
['Acetyl-CoA Carboxylase',28
'HTT gene',28
'Calcitonin-Gene Related Peptide Receptor',28
'NF-kappa B',28
'Nuclear Hormone Receptors'],28
'Factor Xa',27
'Growth Differentiation Factor 15',27
'PDE10A gene',27
'LPAR5 gene',27
'ACP1 protein,27
'trypsin'],27
'Renin',27
'LPAR4 gene',27
'epidermal growth factor',27
'Cyclic GMP-Dependent Protein Kinases',27
'lysophosphatidic acid',27
'Insulin Receptor Substrate-2 Protein',27
'Vascular Cell Adhesion Molecule-1',27
'connective tissue growth factor',27
'LPAR2 gene',27
['Amylin',27
'LPAR3 gene',27
'Insulin Secretagogues',27
'LRRC8A gene',27
'Endorphins',26
'ADAM17 Protein',26
'ENPP2 wt Allele',26
'oxytocin',26
'Therapeutic Insulin',26
'Genes,26
'NOS2A protein,26
'Lente Insulin',26
['Fatty-acid synthase',26
CD15',26
'HSD17B2 protein,26
'fibrinogen',26
'Acyl-Protein Thioesterase 1'],26
'ubiquitin-protein ligase',26
Lysophosphatidic Acid',26
'corticotropin-releasing hormone',26
'DPP8 gene',25
'Agouti-Related Protein',25
'Peptide YY'],25
'c-myc Genes',25
'insulin glulisine,25
'Monoamine Oxidase',25
['Insulin-Like-Growth Factor I Receptor',25
'caveolin 1',25
'interleukin-4',25
'PPARA gene',25
'Sterol Regulatory Element Binding Protein 1c',25
'glycosyltransferase'],25
['GLP1R gene',25
['Dipeptidyl-Peptidase IV',25
"[""2',3'-cyclic nucleotide 3'-phosphodiesterase""",25
'CD5L gene',25
'AKR1C3 protein,25
'Receptor Protein-Tyrosine Kinases'],25
['Androgen Receptor',25
'Platelet-Derived Growth Factor',25
'Corticosterone',24
"'Fructose-1,6-Bisphosphatase'",24
'RXR activity',24
'interferon type II',24
Type 5',24
'Tacrolimus Binding Proteins',24
'Receptor Protein-Tyrosine Kinases',24
'Sirtuins'],24
'Liver X Receptor-Like Family',24
'CIDEC gene',24
'Amyloid beta-Peptides',24
'HNF1A gene',24
IDL',24
'Cyclin-Dependent Kinases',24
['Sodium-Glucose Transport Proteins',24
'glycogen synthase kinase 3 beta',24
['Gastric Inhibitory Polypeptide',24
'SCD gene',24
'Phosphoenolpyruvate Carboxylase'],24
'IL17RA protein,24
'AXIN1 gene',23
'Protein Tyrosine Phosphatase'],23
'Actins',23
'Interleukins',23
'fibroblast growth factor 21'],23
'orexin receptor type 2',23
'Proinsulin'],23
'INS gene',23
'Dipeptidyl Peptidases',23
'Insulin-Like Growth Factor I'],23
'MAP2K1 protein,23
'vildagliptin',23
'A2M gene',23
'GCGR gene',23
'Atrial Natriuretic Factor',23
'PTEN gene',23
'glycerate kinase activity',23
'MC3R gene',23
'Endothelin',23
'TFAP2A gene',23
'AICA ribonucleotide',23
'Melanocyte stimulating hormone',23
'Isoenzymes',23
'GHR protein,23
'Protein Tyrosine Kinase'],22
['TNF protein,22
USP',22
'ras Oncogene',22
'Channel',22
'Cholecystokinin B Receptor',22
'Fibroblast Growth Factor 2',22
'PPARGC1A wt Allele',22
'Forkhead Transcription Factors',22
'Retinoic Acid Receptor',22
'Triglycerides',22
'Cytochrome P-450 CYP2D6',22
'Insulin-Like Growth Factor Binding Protein 3',22
'leptin receptor,22
'Integral Membrane Proteins',22
'luteinizing hormone',22
['Albumins',22
'IGF1R protein,22
'Fab Immunoglobulins',22
'CPT-11',22
'Ubiquitin'],22
'Angiotensinogen',22
'amylase',22
'MKNK1 protein,22
'EIF4EBP1 protein,22
'alpha 1-antitrypsin',22
'TNFSF10 protein,22
'Follistatin',22
'aggrecanase',21
'Janus kinase',21
'pancreatic lipase'],21
'FGFR1 gene',21
'Mitochondrial Uncoupling Proteins'],21
'ADAMTS13 protein,21
'20-alpha-Hydroxysteroid Dehydrogenase',21
'ATF4 gene',21
'HSD17B4 protein,21
'TRPV4 protein,21
'PPARG gene'],21
'Low Density Lipoprotein Receptor',21
'cyclic AMP',21
'RNA Polymerase II',21
['insulin,21
'EP300 gene',21
'BETA-N-ACETYLHEXOSAMINIDASE',21
'Liver X Receptors',21
'Stearoyl-CoA Desaturase'],21
'High Density Lipoproteins'],21
'FAP gene',21
'IRS2 gene',21
'ACSL1 Gene',21
'peptide O-linked N-acetylglucosamine-beta-N-acetylglucosaminidase',21
'Oxidases',21
'17beta-hydroxysteroid dehydrogenase type 3',21
['High Density Lipoproteins',20
'thyrotropin',20
'Catenins',20
'FOXO Family',20
'SLC2A3 gene',20
['ACACB gene',20
'glucose 1-dehydrogenase [NAD(P)] activity',20
'SIRT3 gene',20
'FFAR4 gene',20
'asparaginase',20
'GPBAR1 gene',20
'JUN kinase activity',20
'ADIPOR1 gene',20
'HCRTR2 gene'],20
'Voltage-Dependent Anion Channels',20
'CX3CR1 protein,20
'GABPA gene',20
['Peroxisome Proliferator-Activated Receptors'],20
'beta-Secretase',20
'orexin B',20
'Kv1.3 Potassium Channel',20
'Extracellular Signal Regulated Kinases',20
'diacylglycerol O-acyltransferase'],20
['2-acylglycerol O-acyltransferase activity',20
'orexin receptors',20
Progesterone',20
['AMP-Activated Protein Kinases',20
'HSD11B1 gene',20
'Insulin-Like Growth Factor 1 Receptor Beta Chain,20
'Calcium/calmodulin-dependent protein kinase',20
'WNT5B gene',19
'Transferrin'],19
'2-acylglycerol O-acyltransferase',19
'ERN1 gene',19
'sulfonylurea receptor binding',19
'cannabinoid receptor',19
'Glutamate Receptor',19
'FOXO1A protein,19
'Histocompatibility Antigens Class II',19
'linagliptin',19
'Protein O-GlcNAcase',19
'vildagliptin'],19
'Short Chain Dehydrogenase-Reductases'],19
'Epidermal Growth Factor Receptor',19
'Insulin-Like-Growth Factor I Receptor'],19
'Lysophospholipids',19
'pituitary adenylate cyclase activating polypeptide',19
'chrysarobin'],19
'MAPK14 gene',19
'Cyclin-Dependent Kinase 5',19
['MTOR gene',19
'orexin A',19
['Proto-Oncogene Proteins c-akt',19
'growth hormone secretagogue receptor'],19
'Fibrin',19
'Cyclin-Dependent Kinase 4',19
'Glucagon-Like Peptide Receptors',19
'Hypoxia-Inducible Factor 1',18
['BACE2 gene',18
Protamine Zinc'],18
'Chromogranin A',18
'Estrogen Receptors'],18
'FABP4 protein,18
'PPP1R1B gene',18
['PPAR gamma',18
'LIPOPROTEIN LIPASE'],18
'Dopamine Receptor',18
'FOXM1 gene',18
'insulin-like growth factor 2,18
'ADENYLATE KINASE',18
